"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000002834",7168.82575403564,-0.398577027515813,0.102371469003081,-3.89343858593859,9.88332318449876e-05,0.00153323506998255
"ENSG00000003096",377.977300973334,0.920204124263572,0.186973554304078,4.92157368291254,8.58510675933967e-07,2.42852677507348e-05
"ENSG00000003402",2546.61419680864,-1.18342545241097,0.163559231941422,-7.23545493803006,4.6397117738149e-13,5.5631640849258e-11
"ENSG00000003987",25.5043187098086,-0.988022127426806,0.326515195905993,-3.02596062852544,0.00247844572952862,0.021976103951951
"ENSG00000004059",1225.35425318088,-0.369205502311206,0.1041105556575,-3.54628308320442,0.000390706253263552,0.00492289879112076
"ENSG00000004487",1237.79987702344,0.298900502409851,0.082906622982579,3.60526688528441,0.000311832297914804,0.0040555013132876
"ENSG00000004700",1035.33054232716,-0.366665403657825,0.116614466781058,-3.14425314267599,0.001665113312674,0.0159680758080734
"ENSG00000004799",914.379014067714,-2.5440316434074,0.901187392370752,-2.82297740175305,0.00475799252070841,0.0362110118744331
"ENSG00000004846",17.9991680687101,1.88140579346498,0.699285278742336,2.69046961327241,0.00713515327206848,0.0493880162239824
"ENSG00000004866",412.129049598094,0.58219813424584,0.17817395309375,3.26758274224013,0.00108470154417718,0.0113829351770372
"ENSG00000005007",2261.97159931419,-0.241512688686792,0.08407016474127,-2.87275146218708,0.00406914098880553,0.0320852716491093
"ENSG00000005100",485.155503010875,-0.371204801079667,0.132311659007556,-2.80553357023866,0.00502333484470328,0.0377321878703535
"ENSG00000005249",298.031602932061,-0.64709432042849,0.215905729157875,-2.99711509718819,0.00272547790572757,0.0236585739738192
"ENSG00000005471",33.6639882396994,1.21874995774277,0.434357059767742,2.80587118439942,0.00501807485288024,0.0377269098465935
"ENSG00000005812",1409.31948532894,-0.473648449143803,0.166875370896285,-2.83833645791973,0.0045349351950795,0.0348759621651595
"ENSG00000006025",160.284813182945,0.929615391135608,0.250706646794331,3.70798063402852,0.000208918629100317,0.00290190786384857
"ENSG00000006114",995.873717984987,0.514658324372859,0.102141243545997,5.03869256439094,4.68722682683825e-07,1.42340049962073e-05
"ENSG00000006451",1095.51669885864,0.580354497381907,0.191775283915268,3.02622155229515,0.0024763078310625,0.0219676281815258
